Date,Open,High,Low,Close,Adj Close,Volume
2011-03-31,6263.109863,6408.759766,5923.250000,6020.350098,4874.528320,183581852
2011-04-30,6020.350098,6117.459961,5631.939941,6020.350098,4970.400879,127456087
2011-05-31,5971.799805,6020.350098,5631.939941,5826.149902,4810.069824,86577619
2011-06-30,5874.700195,5971.799805,5146.430176,5292.080078,4369.141602,195948174
2011-07-31,5437.740234,5486.290039,4515.259766,5049.330078,4168.727051,126968974
2011-08-31,5292.080078,5600.000000,4325.000000,4600.000000,3797.760986,179159225
2011-09-30,4275.000000,5200.000000,3975.000000,4975.000000,4107.359863,116256500
2011-10-31,4900.000000,5100.000000,4275.000000,4400.000000,3632.640381,57527000
2011-11-30,4400.000000,4425.000000,4075.000000,4100.000000,3384.960205,48683000
2011-12-31,4050.000000,4950.000000,4050.000000,4525.000000,3735.840088,121201003
2012-01-31,4575.000000,4875.000000,4150.000000,4475.000000,3694.560547,97211000
2012-02-29,4525.000000,4675.000000,4250.000000,4600.000000,3797.760986,76864002
2012-03-31,4600.000000,6500.000000,4600.000000,5600.000000,4623.360840,234047000
2012-04-30,5950.000000,6050.000000,5050.000000,5300.000000,4450.035156,125747002
2012-05-31,5250.000000,6100.000000,4900.000000,6000.000000,5037.775391,168205000
2012-06-30,6000.000000,6400.000000,5800.000000,6050.000000,5079.756836,146678000
2012-07-31,6100.000000,6150.000000,5900.000000,6000.000000,5037.775391,53351000
2012-08-31,6050.000000,6250.000000,5900.000000,6250.000000,5247.683105,71836500
2012-09-30,6100.000000,6300.000000,5950.000000,6100.000000,5121.738770,56516500
2012-10-31,6200.000000,6250.000000,5400.000000,5400.000000,4533.997559,82045500
2012-11-30,5700.000000,5800.000000,5450.000000,5600.000000,4701.923828,54355503
2012-12-31,5600.000000,6150.000000,5550.000000,6100.000000,5121.738770,44715500
2013-01-31,6100.000000,6300.000000,5850.000000,6300.000000,5289.664063,54001000
2013-02-28,6250.000000,6550.000000,5950.000000,6450.000000,5415.608398,39786531
2013-03-31,6500.000000,6500.000000,6150.000000,6450.000000,5415.608398,34722055
2013-04-30,6400.000000,6550.000000,5600.000000,5750.000000,4827.868164,36738068
2013-05-31,5700.000000,5900.000000,5350.000000,5850.000000,5021.500977,6100071
2013-06-30,5800.000000,5850.000000,4950.000000,5200.000000,4463.555664,55733004
2013-07-31,4750.000000,4750.000000,3725.000000,4050.000000,3476.423828,113911000
2013-08-31,4150.000000,4225.000000,3825.000000,3975.000000,3412.045166,147277000
2013-09-30,4025.000000,4325.000000,3950.000000,4300.000000,3691.017822,115167000
2013-10-31,4300.000000,4350.000000,3725.000000,3800.000000,3261.829590,63055500
2013-11-30,3825.000000,3950.000000,3550.000000,3775.000000,3240.369873,45263500
2013-12-31,3775.000000,4650.000000,3590.000000,4340.000000,3725.352783,112467000
2014-01-31,4340.000000,4650.000000,3900.000000,4080.000000,3502.174805,78619600
2014-02-28,4100.000000,4430.000000,4085.000000,4350.000000,3733.935791,97493600
2014-03-31,4300.000000,4665.000000,4090.000000,4090.000000,3510.758301,81849700
2014-04-30,4090.000000,4365.000000,4090.000000,4160.000000,3570.844971,50501400
2014-05-31,4190.000000,4405.000000,4090.000000,4145.000000,3557.968994,42907700
2014-06-30,4150.000000,4400.000000,3850.000000,3855.000000,3412.819092,64098300
2014-07-31,3855.000000,3940.000000,3740.000000,3750.000000,3319.863281,83298800
2014-08-31,3740.000000,4110.000000,3650.000000,3905.000000,3457.084473,110344000
2014-09-30,3940.000000,4215.000000,3820.000000,4215.000000,3731.526367,66773300
2014-10-31,4225.000000,4300.000000,3990.000000,4200.000000,3718.247070,37402300
2014-11-30,4220.000000,4560.000000,4170.000000,4525.000000,4005.968262,60336500
2014-12-31,4525.000000,5200.000000,4400.000000,4400.000000,3895.306396,69914500
2015-01-31,4400.000000,5050.000000,4400.000000,4800.000000,4249.424805,59186600
2015-02-28,4800.000000,5125.000000,4590.000000,5125.000000,4537.146484,61110800
2015-03-31,5125.000000,5175.000000,3910.000000,3970.000000,3514.628662,52090400
2015-04-30,3970.000000,4535.000000,3870.000000,4420.000000,3976.244629,39409400
2015-05-31,4375.000000,4500.000000,3890.000000,4300.000000,3868.291992,29416900
2015-06-30,4250.000000,4340.000000,4050.000000,4200.000000,3778.331787,33657900
2015-07-31,4125.000000,4390.000000,2710.000000,3535.000000,3180.095703,42171800
2015-08-31,3500.000000,3875.000000,2875.000000,2895.000000,2604.350098,51764900
2015-09-30,2900.000000,3360.000000,2750.000000,2760.000000,2482.903564,50043000
2015-10-31,2790.000000,3150.000000,2665.000000,2825.000000,2541.377930,83653900
2015-11-30,2860.000000,3240.000000,2775.000000,3200.000000,2878.728760,49961900
2015-12-31,3200.000000,4100.000000,2900.000000,4060.000000,3652.387207,38730500
2016-01-31,4035.000000,4220.000000,3550.000000,4025.000000,3620.901123,37383600
2016-02-29,3995.000000,4150.000000,3730.000000,3800.000000,3418.490479,48366200
2016-03-31,3790.000000,3810.000000,3275.000000,3290.000000,2959.693115,27438000
2016-04-30,3290.000000,3300.000000,2780.000000,3280.000000,2950.697266,60353308
2016-05-31,3280.000000,3600.000000,3220.000000,3540.000000,3268.137451,34412000
2016-06-30,3560.000000,3810.000000,3500.000000,3500.000000,3231.209473,46217900
2016-07-31,3500.000000,4080.000000,3360.000000,4080.000000,3766.666992,112547200
2016-08-31,4080.000000,4090.000000,3600.000000,4050.000000,3738.970947,47118900
2016-09-30,4010.000000,4090.000000,3780.000000,3860.000000,3563.562500,19275900
2016-10-31,3860.000000,3870.000000,3250.000000,3250.000000,3000.408691,46760600
2016-11-30,3250.000000,3760.000000,3250.000000,3710.000000,3425.082031,29947200
2016-12-31,3710.000000,4310.000000,3560.000000,4160.000000,3840.523193,43188700
2017-01-31,4160.000000,5100.000000,4100.000000,4950.000000,4569.853516,51870900
2017-02-28,4860.000000,5000.000000,4620.000000,4700.000000,4339.052734,61797900
2017-03-31,4800.000000,5025.000000,4420.000000,4860.000000,4486.764648,45120900
2017-04-30,4860.000000,5500.000000,4790.000000,5225.000000,5035.589844,75272800
2017-05-31,5225.000000,5500.000000,4880.000000,5125.000000,4939.215332,46188900
2017-06-30,5125.000000,5700.000000,4800.000000,5700.000000,5493.371094,69647000
2017-07-31,5775.000000,5775.000000,5275.000000,5450.000000,5252.433594,41456400
2017-08-31,5450.000000,5475.000000,5025.000000,5200.000000,5011.496582,36790100
2017-09-30,5250.000000,5650.000000,5025.000000,5100.000000,4915.121582,33237000
2017-10-31,5125.000000,5800.000000,4850.000000,5025.000000,4842.839844,93475100
2017-11-30,5025.000000,7300.000000,5025.000000,6950.000000,6698.057617,150925300
2017-12-31,6950.000000,7200.000000,6775.000000,7150.000000,6890.807129,79728700
2018-01-31,7150.000000,7175.000000,6525.000000,6600.000000,6360.745117,43391500
2018-02-28,6550.000000,7075.000000,6125.000000,6875.000000,6625.776367,50286700
2018-03-31,6800.000000,6900.000000,6425.000000,6650.000000,6548.679199,19864600
2018-04-30,6650.000000,6700.000000,5375.000000,5825.000000,5736.249023,106096600
2018-05-31,5825.000000,6625.000000,5650.000000,6375.000000,6277.869141,81754400
2018-06-30,6400.000000,7000.000000,6075.000000,6575.000000,6474.821777,105564300
2018-07-31,6700.000000,7200.000000,6400.000000,6800.000000,6696.394043,104548800
2018-08-31,6825.000000,7500.000000,6500.000000,7200.000000,7090.299316,99126200
2018-09-30,7200.000000,7500.000000,6900.000000,7425.000000,7311.871094,62775200
2018-10-31,7425.000000,7600.000000,7150.000000,7425.000000,7311.871094,61895900
2018-11-30,7425.000000,7650.000000,7125.000000,7600.000000,7484.205078,79739600
2018-12-31,7600.000000,9200.000000,7600.000000,9100.000000,8961.350586,207406400
2019-01-31,9100.000000,9225.000000,8425.000000,8525.000000,8395.111328,98489400
2019-02-28,8500.000000,9250.000000,7300.000000,9175.000000,9035.208008,30434000
2019-03-31,9250.000000,10000.000000,8050.000000,8850.000000,8715.159180,19525400
2019-04-30,8850.000000,8900.000000,4710.000000,4800.000000,4800.000000,393593400
