Date,Open,High,Low,Close,Adj Close,Volume
2003-06-30,381.029999,442.487000,356.447998,381.029999,131.996414,2600630406
2003-07-31,368.739014,417.903992,344.156006,417.903992,144.770309,1413272696
2003-08-31,405.613007,442.487000,381.029999,417.903992,144.770309,1393113105
2003-09-30,417.903992,503.942993,405.613007,467.069000,161.802032,1895997508
2003-10-31,467.069000,479.359985,393.321014,454.778015,157.544174,1306440983
2003-11-30,454.778015,516.234009,442.487000,491.652008,170.318100,1341648831
2003-12-31,491.652008,737.478027,479.359985,639.146973,246.479782,2568405363
2004-01-31,614.565002,774.351990,602.273010,688.312012,265.439697,1663675550
2004-02-29,700.604004,762.059998,614.565002,688.312012,265.439697,1783447318
2004-03-31,676.020996,762.059998,651.439026,712.895020,274.919922,2168849176
2004-04-30,712.895020,712.895020,553.107971,614.565002,237.000015,1868231922
2004-05-31,614.565002,626.856018,516.234009,577.690979,222.779938,1713155693
2004-06-30,577.690979,639.146973,565.400024,614.565002,266.343903,949647789
2004-07-31,602.273010,639.146973,565.400024,614.565002,266.343903,948918613
2004-08-31,614.565002,725.185974,614.565002,712.895020,308.958771,1861999868
2004-09-30,700.604004,786.643005,700.604004,774.351990,335.593292,1443952952
2004-10-31,774.351990,958.721008,774.351990,897.263977,388.861633,1568786230
2004-11-30,909.556030,983.304016,860.390991,946.429993,410.169617,1735602474
2004-12-31,948.888000,1007.890015,904.638977,953.804016,442.987915,1586923051
2005-01-31,953.804016,953.804016,860.390991,889.890015,413.303497,2415451574
2005-02-28,889.890015,924.304993,806.309021,840.723999,390.468689,2049732342
2005-03-31,840.723999,870.223999,668.645996,786.643005,365.351105,1565027470
2005-04-30,786.643005,855.473999,776.809998,816.142029,379.051727,1639228365
2005-05-31,811.224976,816.142029,703.062012,737.478027,342.516754,1921265396
2005-06-30,737.478027,801.392029,722.728027,791.559021,406.206757,1485693878
2005-07-31,786.643005,825.974976,599.815002,673.562988,345.654297,1543173589
2005-08-31,663.729980,717.812012,648.979980,712.895020,365.838501,1084581711
2005-09-30,727.645020,742.393982,629.314026,648.979980,333.039063,713543679
2005-10-31,648.979980,658.812988,540.817017,634.231018,325.470245,1071484026
2005-11-30,644.064026,821.057983,629.314026,806.309021,413.776031,1662937219
2005-12-31,806.309021,988.219971,796.476013,875.140015,449.098206,2626011179
2006-01-31,875.140015,899.723022,781.726013,796.476013,408.730011,1270682950
2006-02-28,791.559021,884.973022,737.478027,855.473999,439.006165,2391542371
2006-03-31,816.142029,988.219971,816.142029,943.971008,484.420410,2165489075
2006-04-30,958.721008,1167.670044,791.559021,830.890991,426.390808,7152741709
2006-05-31,806.309021,860.390991,747.310974,845.640991,433.960205,3043744867
2006-06-30,860.390991,904.638977,786.643005,865.307007,452.879120,2972585759
2006-07-31,884.973022,1093.930054,860.390991,1032.469971,540.367859,3611976341
2006-08-31,1057.050049,1179.959961,1007.890015,1143.089966,598.263428,2316406871
2006-09-30,1130.800049,1388.920044,1093.930054,1339.750000,701.190125,1991579394
2006-10-31,1327.459961,1438.079956,1278.290039,1364.329956,714.054688,1993096729
2006-11-30,1425.790039,1450.369995,1339.750000,1425.790039,746.221375,1487494949
2006-12-31,1425.790039,1450.369995,1155.380005,1266.000000,662.591309,2523187382
2007-01-31,1266.000000,1290.589966,1057.050049,1143.089966,598.263428,1604998853
2007-02-28,1143.089966,1266.000000,1081.630005,1229.130005,643.294617,2942384503
2007-03-31,1241.420044,1634.739990,1216.839966,1511.829956,791.252380,4458390489
2007-04-30,1499.540039,1647.030029,1462.660034,1597.869995,836.283386,2493607503
2007-05-31,1597.869995,1622.449951,1487.250000,1536.410034,804.116882,1287386845
2007-06-30,1573.290039,1868.280029,1536.410034,1733.069946,948.773926,4893873527
